Date : 2026-02-22 22:40:52
Directory : /Users/joshuakim/Documents/yeayea
Total : 120 files,  26273 codes, 295 comments, 2906 blanks, all 29474 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |         70 |     11,869 |        204 |      2,304 |     14,377 |
| JSON               |          5 |      9,162 |          0 |          5 |      9,167 |
| TypeScript JSX     |         30 |      5,043 |         83 |        555 |      5,681 |
| JSON with Comments |          3 |         68 |          0 |          3 |         71 |
| JavaScript         |          4 |         52 |          8 |         18 |         78 |
| Markdown           |          2 |         52 |          0 |         16 |         68 |
| PostCSS            |          1 |         22 |          0 |          5 |         27 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |        120 |     26,273 |        295 |      2,906 |     29,474 |
| . (Files)                                                                                            |          4 |      8,104 |          0 |          5 |      8,109 |
| rpgbot                                                                                               |         66 |     12,774 |        206 |      2,263 |     15,243 |
| rpgbot (Files)                                                                                       |          3 |      1,089 |          0 |          3 |      1,092 |
| rpgbot/src                                                                                           |         63 |     11,685 |        206 |      2,260 |     14,151 |
| rpgbot/src (Files)                                                                                   |          2 |         73 |          0 |         15 |         88 |
| rpgbot/src/cache                                                                                     |          4 |        209 |          0 |         63 |        272 |
| rpgbot/src/commands                                                                                  |         25 |      5,837 |        169 |      1,077 |      7,083 |
| rpgbot/src/commands (Files)                                                                          |          1 |         76 |          0 |          2 |         78 |
| rpgbot/src/commands/admin                                                                            |         12 |      3,173 |         19 |        514 |      3,706 |
| rpgbot/src/commands/user                                                                             |         12 |      2,588 |        150 |        561 |      3,299 |
| rpgbot/src/db                                                                                        |          7 |      1,166 |          9 |        221 |      1,396 |
| rpgbot/src/events                                                                                    |          4 |        280 |          2 |         40 |        322 |
| rpgbot/src/leveling                                                                                  |          1 |         96 |          2 |         19 |        117 |
| rpgbot/src/player                                                                                    |          5 |      1,020 |         13 |        232 |      1,265 |
| rpgbot/src/types                                                                                     |          9 |        580 |          1 |         59 |        640 |
| rpgbot/src/ui                                                                                        |          6 |      2,424 |         10 |        534 |      2,968 |
| rpgbot/src/ui/canvas                                                                                 |          2 |        110 |         10 |         30 |        150 |
| rpgbot/src/ui/panel                                                                                  |          4 |      2,314 |          0 |        504 |      2,818 |
| web                                                                                                  |         50 |      5,395 |         89 |        638 |      6,122 |
| web (Files)                                                                                          |          7 |        118 |          4 |         25 |        147 |
| web/app                                                                                              |         38 |      5,272 |         85 |        613 |      5,970 |
| web/app (Files)                                                                                      |          4 |         70 |          0 |         15 |         85 |
| web/app/api                                                                                          |          4 |        105 |          0 |         25 |        130 |
| web/app/api/auth                                                                                     |          2 |         27 |          0 |          5 |         32 |
| web/app/api/auth/[...nextauth]                                                                       |          2 |         27 |          0 |          5 |         32 |
| web/app/api/discord                                                                                  |          2 |         78 |          0 |         20 |         98 |
| web/app/api/discord/guilds                                                                           |          2 |         78 |          0 |         20 |         98 |
| web/app/api/discord/guilds (Files)                                                                   |          1 |         42 |          0 |         11 |         53 |
| web/app/api/discord/guilds/[guildId]                                                                 |          1 |         36 |          0 |          9 |         45 |
| web/app/api/discord/guilds/[guildId]/config                                                          |          1 |         36 |          0 |          9 |         45 |
| web/app/components                                                                                   |         10 |      4,646 |         82 |        457 |      5,185 |
| web/app/components (Files)                                                                           |          2 |         58 |          1 |          9 |         68 |
| web/app/components/achievements                                                                      |          1 |        649 |         12 |         66 |        727 |
| web/app/components/levels                                                                            |          1 |        552 |         12 |         51 |        615 |
| web/app/components/logging                                                                           |          1 |        217 |         12 |         27 |        256 |
| web/app/components/quests                                                                            |          1 |        513 |          6 |         53 |        572 |
| web/app/components/shop                                                                              |          1 |      1,304 |         17 |        121 |      1,442 |
| web/app/components/sidebar                                                                           |          1 |         67 |          0 |          5 |         72 |
| web/app/components/styles                                                                            |          1 |        223 |          4 |         30 |        257 |
| web/app/components/xp                                                                                |          1 |      1,063 |         18 |         95 |      1,176 |
| web/app/dashboard                                                                                    |         17 |        349 |          1 |         88 |        438 |
| web/app/dashboard (Files)                                                                            |          1 |         17 |          0 |          4 |         21 |
| web/app/dashboard/[guildId]                                                                          |         16 |        332 |          1 |         84 |        417 |
| web/app/dashboard/[guildId] (Files)                                                                  |          2 |         28 |          0 |          7 |         35 |
| web/app/dashboard/[guildId]/achievements                                                             |          2 |         43 |          0 |         11 |         54 |
| web/app/dashboard/[guildId]/levels                                                                   |          2 |         43 |          0 |         11 |         54 |
| web/app/dashboard/[guildId]/logging                                                                  |          2 |         46 |          0 |         11 |         57 |
| web/app/dashboard/[guildId]/quests                                                                   |          2 |         43 |          0 |         11 |         54 |
| web/app/dashboard/[guildId]/shop                                                                     |          2 |         43 |          0 |         11 |         54 |
| web/app/dashboard/[guildId]/styles                                                                   |          2 |         43 |          0 |         11 |         54 |
| web/app/dashboard/[guildId]/xp                                                                       |          2 |         43 |          1 |         11 |         55 |
| web/app/hooks                                                                                        |          1 |         56 |          1 |         12 |         69 |
| web/app/lib                                                                                          |          2 |         46 |          1 |         16 |         63 |
| web/public                                                                                           |          5 |          5 |          0 |          0 |          5 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                             | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/joshuakim/Documents/yeayea/README.md                                                          | Markdown           |         29 |          0 |          2 |         31 |
| /Users/joshuakim/Documents/yeayea/package-lock.json                                                  | JSON               |      8,042 |          0 |          1 |      8,043 |
| /Users/joshuakim/Documents/yeayea/package.json                                                       | JSON               |         16 |          0 |          1 |         17 |
| /Users/joshuakim/Documents/yeayea/rpgbot/package-lock.json                                           | JSON               |      1,045 |          0 |          1 |      1,046 |
| /Users/joshuakim/Documents/yeayea/rpgbot/package.json                                                | JSON               |         27 |          0 |          1 |         28 |
| /Users/joshuakim/Documents/yeayea/rpgbot/src/cache/caches.ts                                         | TypeScript         |         51 |          0 |         13 |         64 |
| /Users/joshuakim/Documents/yeayea/rpgbot/src/cache/guildService.ts                                   | TypeScript         |         28 |          0 |          7 |         35 |
| /Users/joshuakim/Documents/yeayea/rpgbot/src/cache/profileService.ts                                 | TypeScript         |        106 |          0 |         35 |        141 |
| /Users/joshuakim/Documents/yeayea/rpgbot/src/cache/userService.ts                                    | TypeScript         |         24 |          0 |          8 |         32 |
| /Users/joshuakim/Documents/yeayea/rpgbot/src/commands/admin/adminInventory.ts                        | TypeScript         |         94 |          0 |         11 |        105 |
| /Users/joshuakim/Documents/yeayea/rpgbot/src/commands/admin/configAchievements.ts                    | TypeScript         |        323 |          0 |         44 |        367 |
| /Users/joshuakim/Documents/yeayea/rpgbot/src/commands/admin/configGeneral.ts                         | TypeScript         |         59 |          0 |         16 |         75 |
| /Users/joshuakim/Documents/yeayea/rpgbot/src/commands/admin/configLevels.ts                          | TypeScript         |        365 |          1 |         61 |        427 |
